,time,index,index_rate,airbnb,airbnb_rate
2018,Jul,106.2,,106.0202166,
,Aug,106.3,0.020781029,106.5149642,0.466654019
,Sep,106.3,0.014616531,107.2412656,0.681877361
,Oct,106.3,0.027632455,108.5892007,1.256918318
,Nov,106.3,0.046041127,108.9392234,0.322336576
,Dec,106.4,0.049905811,111.9481166,2.761992533
2019,Jan,106.4,-0.035286078,112.6748086,0.649132827
,Feb,106.5,0.093047181,113.6560862,0.870893514
,Mar,106.6,0.132908226,115.9319592,2.002420701
,Apr,106.7,0.050047041,116.5994402,0.575752361
,May,107.0,0.313543357,118.3210222,1.476492511
,Jun,107.0,0.023516069,118.943715,0.526274044
,Jul,107.2,0.159542142,121.6563029,2.280564293
,Aug,107.1,-0.04767901,122.1504574,0.406188976
,Sep,107.2,0.090440824,129.7510232,6.222298248
,Oct,107.3,0.066459281,122.1061785,-5.891933988
,Nov,107.4,0.066670439,122.3367659,0.188841658
,Dec,107.6,0.247088059,126.8852884,3.718033949
2020,Jan,107.7,0.070184716,126.1936608,-0.545080976
,Feb,107.7,-0.032993341,127.994553,1.427086098
,Mar,107.9,0.212476149,128.5469936,0.431612602
,Apr,108.0,0.119468959,129.6107251,0.827503996
,May,108.2,0.174955302,128.9517997,-0.50838801
,Jun,108.3,0.096566009,127.5309219,-1.101867423
,Jul,108.3,0.004286482,126.9320063,-0.469623811
,Aug,108.5,0.166818824,112.1079315,-11.67875243
,Sep,108.6,0.034843223,114.695663,2.308250096
,Oct,108.2,-0.283513251,118.7779365,3.559222273
,Nov,108.5,0.247114587,119.3630576,0.492617611